Priority,Source,Business Name,City,State,Lead Quality,Value Indicator,Days Since Trigger,Contact Approach,Franchise Info,Next Action
1,SBA_LOAN,Anytime Fitness of Madison,Madison,WI,MEDIUM,"$215,000",60,"Phone: Congratulations on your $215,000 SBA approval! Free location analysis available.",Anytime Fitness,Call within 48 hours - congratulate and offer market insights
2,SBA_LOAN,Kwik Trip of Green Bay,Green Bay,WI,HIGH,"$455,000",60,"Phone: Congratulations on your $455,000 SBA approval! Free location analysis available.",Kwik Trip,Call within 48 hours - congratulate and offer market insights
3,SBA_LOAN,Cousins Subs of Madison,Madison,WI,MEDIUM,"$290,000",56,"Phone: Congratulations on your $290,000 SBA approval! Free location analysis available.",Cousins Subs,Call within 48 hours - congratulate and offer market insights
4,SBA_LOAN,Subway of Milwaukee,Milwaukee,WI,MEDIUM,"$125,000",55,"Phone: Congratulations on your $125,000 SBA approval! Free location analysis available.",Subway,Call within 48 hours - congratulate and offer market insights
5,SBA_LOAN,H&R Block of Kenosha,Kenosha,WI,MEDIUM,"$185,000",54,"Phone: Congratulations on your $185,000 SBA approval! Free location analysis available.",H&R Block,Call within 48 hours - congratulate and offer market insights
6,SBA_LOAN,Culver's of Madison,Madison,WI,HIGH,"$440,000",53,"Phone: Congratulations on your $440,000 SBA approval! Free location analysis available.",Culver's,Call within 48 hours - congratulate and offer market insights
7,SBA_LOAN,Pizza Hut of Kenosha,Kenosha,WI,HIGH,"$335,000",49,"Phone: Congratulations on your $335,000 SBA approval! Free location analysis available.",Pizza Hut,Call within 48 hours - congratulate and offer market insights
8,SBA_LOAN,Snap Fitness of Milwaukee,Milwaukee,WI,MEDIUM,"$200,000",47,"Phone: Congratulations on your $200,000 SBA approval! Free location analysis available.",Snap Fitness,Call within 48 hours - congratulate and offer market insights
9,SBA_LOAN,McDonald's of Madison,Madison,WI,MEDIUM,"$140,000",45,"Phone: Congratulations on your $140,000 SBA approval! Free location analysis available.",McDonald's,Call within 48 hours - congratulate and offer market insights
10,SBA_LOAN,Pizza Hut of Green Bay,Green Bay,WI,MEDIUM,"$155,000",41,"Phone: Congratulations on your $155,000 SBA approval! Free location analysis available.",Pizza Hut,Call within 48 hours - congratulate and offer market insights
11,SBA_LOAN,Cousins Subs of Appleton,Appleton,WI,HIGH,"$470,000",41,"Phone: Congratulations on your $470,000 SBA approval! Free location analysis available.",Cousins Subs,Call within 48 hours - congratulate and offer market insights
12,SBA_LOAN,Anytime Fitness of Appleton,Appleton,WI,HIGH,"$395,000",38,"Phone: Congratulations on your $395,000 SBA approval! Free location analysis available.",Anytime Fitness,Call within 48 hours - congratulate and offer market insights
13,SBA_LOAN,Jimmy John's of Appleton,Appleton,WI,MEDIUM,"$245,000",35,"Phone: Congratulations on your $245,000 SBA approval! Free location analysis available.",Jimmy John's,Call within 48 hours - congratulate and offer market insights
14,SBA_LOAN,Papa John's of Green Bay,Green Bay,WI,MEDIUM,"$230,000",29,"Phone: Congratulations on your $230,000 SBA approval! Free location analysis available.",Papa John's,Call within 48 hours - congratulate and offer market insights
15,SBA_LOAN,Snap Fitness of Green Bay,Green Bay,WI,HIGH,"$380,000",27,"Phone: Congratulations on your $380,000 SBA approval! Free location analysis available.",Snap Fitness,Call within 48 hours - congratulate and offer market insights
16,SBA_LOAN,Great Clips of Appleton,Appleton,WI,MEDIUM,"$170,000",22,"Phone: Congratulations on your $170,000 SBA approval! Free location analysis available.",Great Clips,Call within 48 hours - congratulate and offer market insights
17,SBA_LOAN,Papa John's of Kenosha,Kenosha,WI,HIGH,"$410,000",19,"Phone: Congratulations on your $410,000 SBA approval! Free location analysis available.",Papa John's,Call within 48 hours - congratulate and offer market insights
18,SBA_LOAN,Subway of Kenosha,Kenosha,WI,HIGH,"$485,000",18,"Phone: Congratulations on your $485,000 SBA approval! Free location analysis available.",Subway,Call within 48 hours - congratulate and offer market insights
19,SBA_LOAN,Kwik Trip of Milwaukee,Milwaukee,WI,MEDIUM,"$275,000",16,"Phone: Congratulations on your $275,000 SBA approval! Free location analysis available.",Kwik Trip,Call within 48 hours - congratulate and offer market insights
20,SBA_LOAN,H&R Block of Madison,Madison,WI,HIGH,"$365,000",14,"Phone: Congratulations on your $365,000 SBA approval! Free location analysis available.",H&R Block,Call within 48 hours - congratulate and offer market insights
21,SBA_LOAN,McDonald's of Appleton,Appleton,WI,HIGH,"$320,000",13,"Phone: Congratulations on your $320,000 SBA approval! Free location analysis available.",McDonald's,Call within 48 hours - congratulate and offer market insights
22,SBA_LOAN,Subway of Green Bay,Green Bay,WI,HIGH,"$305,000",10,"Phone: Congratulations on your $305,000 SBA approval! Free location analysis available.",Subway,Call within 48 hours - congratulate and offer market insights
23,SBA_LOAN,Culver's of Kenosha,Kenosha,WI,MEDIUM,"$260,000",3,"Phone: Congratulations on your $260,000 SBA approval! Free location analysis available.",Culver's,Call within 48 hours - congratulate and offer market insights
24,SBA_LOAN,Great Clips of Milwaukee,Milwaukee,WI,HIGH,"$350,000",3,"Phone: Congratulations on your $350,000 SBA approval! Free location analysis available.",Great Clips,Call within 48 hours - congratulate and offer market insights
25,SBA_LOAN,Jimmy John's of Milwaukee,Milwaukee,WI,HIGH,"$425,000",1,"Phone: Congratulations on your $425,000 SBA approval! Free location analysis available.",Jimmy John's,Call within 48 hours - congratulate and offer market insights
26,NEW_BUSINESS,Coffee Shop of Eau Claire 68,Eau Claire,WI,MEDIUM,None% confidence,30,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
27,NEW_BUSINESS,Retail Store of Madison 62,Madison,WI,MEDIUM,None% confidence,29,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
28,NEW_BUSINESS,Retail Store of La Crosse 12,La Crosse,WI,MEDIUM,None% confidence,28,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
29,NEW_BUSINESS,Retail Clothing of Wauwatosa 29,Wauwatosa,WI,MEDIUM,None% confidence,28,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
30,NEW_BUSINESS,Retail Clothing of Wauwatosa 59,Wauwatosa,WI,MEDIUM,None% confidence,27,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
31,NEW_BUSINESS,Retail Clothing of Oshkosh 39,Oshkosh,WI,MEDIUM,None% confidence,26,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
32,NEW_BUSINESS,Retail Clothing of Oshkosh 9,Oshkosh,WI,MEDIUM,None% confidence,25,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
33,NEW_BUSINESS,Retail Store of Waukesha 22,Waukesha,WI,MEDIUM,None% confidence,25,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
34,NEW_BUSINESS,Fitness Center of Appleton 36,Appleton,WI,MEDIUM,None% confidence,25,Email: Welcome to Wisconsin! Complimentary market analysis for new fitness businesses.,Fitness,Send welcome email with market insights attachment
35,NEW_BUSINESS,Coffee Shop of Green Bay 48,Green Bay,WI,MEDIUM,None% confidence,25,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
36,NEW_BUSINESS,Coffee Shop of Green Bay 18,Green Bay,WI,MEDIUM,None% confidence,24,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
37,NEW_BUSINESS,Restaurant of Milwaukee 1,Milwaukee,WI,MEDIUM,None% confidence,21,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
38,NEW_BUSINESS,Retail Clothing of Kenosha 19,Kenosha,WI,MEDIUM,None% confidence,20,Email: Welcome to Wisconsin! Complimentary market analysis for new retail businesses.,Retail,Send welcome email with market insights attachment
39,NEW_BUSINESS,Restaurant of Milwaukee 61,Milwaukee,WI,MEDIUM,None% confidence,19,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
40,NEW_BUSINESS,Restaurant of Appleton 51,Appleton,WI,MEDIUM,None% confidence,18,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
41,NEW_BUSINESS,Restaurant of Milwaukee 31,Milwaukee,WI,MEDIUM,None% confidence,17,Email: Welcome to Wisconsin! Complimentary market analysis for new restaurant businesses.,Restaurant,Send welcome email with market insights attachment
