business_id,source_id,business_name,owner_name,business_type,naics_code,entity_type,status,registration_date,last_updated,address_full,city,state,zip_code,county,phone,email,website,business_description,employee_count,annual_revenue,data_source,source_url,data_extraction_date,confidence_score
WI202505040000,DFI000000,Restaurant of Milwaukee 1,Owner 1,restaurant,722511,LLC,active,2025-05-04,,100 Main St,Milwaukee,WI,53000,Milwaukee,(414) 555-0000,owner1@restaurant1.com,,New restaurant business in Milwaukee,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257013,
WI202505050001,DFI000001,Retail Store of Madison 2,Owner 2,retail,448190,Corporation,active,2025-05-05,,101 Main St,Madison,WI,53001,Dane,(414) 555-0001,owner2@retailstore2.com,,New retail store business in Madison,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257090,
WI202505060002,DFI000002,Hair Salon of Green Bay 3,Owner 3,personal_services,812112,Corporation,active,2025-05-06,,102 Main St,Green Bay,WI,53002,Brown,(414) 555-0002,owner3@hairsalon3.com,,New hair salon business in Green Bay,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257132,
WI202505070003,DFI000003,Dental Office of Kenosha 4,Owner 4,healthcare,621210,LLC,active,2025-05-07,,103 Main St,Kenosha,WI,53003,Unknown,(414) 555-0003,owner4@dentaloffice4.com,,New dental office business in Kenosha,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257163,
WI202505080004,DFI000004,Auto Repair of Racine 5,Owner 5,automotive,811111,Corporation,active,2025-05-08,,104 Main St,Racine,WI,53004,Unknown,(414) 555-0004,owner5@autorepair5.com,,New auto repair business in Racine,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257204,
WI202505090005,DFI000005,Fitness Center of Appleton 6,Owner 6,fitness,713940,Corporation,active,2025-05-09,,105 Main St,Appleton,WI,53005,Unknown,(414) 555-0005,owner6@fitnesscenter6.com,,New fitness center business in Appleton,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257242,
WI202505100006,DFI000006,Law Office of Waukesha 7,Owner 7,professional_services,541110,LLC,active,2025-05-10,,106 Main St,Waukesha,WI,53006,Unknown,(414) 555-0006,owner7@lawoffice7.com,,New law office business in Waukesha,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257273,
WI202505110007,DFI000007,Coffee Shop of Eau Claire 8,Owner 8,restaurant,722515,Corporation,active,2025-05-11,,107 Main St,Eau Claire,WI,53007,Unknown,(414) 555-0007,owner8@coffeeshop8.com,,New coffee shop business in Eau Claire,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257302,
WI202505120008,DFI000008,Retail Clothing of Oshkosh 9,Owner 9,retail,448120,Corporation,active,2025-05-12,,108 Main St,Oshkosh,WI,53008,Unknown,(414) 555-0008,owner9@retailclothing9.com,,New retail clothing business in Oshkosh,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257335,
WI202505130009,DFI000009,Accounting Firm of Janesville 10,Owner 10,professional_services,541211,LLC,active,2025-05-13,,109 Main St,Janesville,WI,53009,Unknown,(414) 555-0009,owner10@accountingfirm10.com,,New accounting firm business in Janesville,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257371,
WI202505140010,DFI000010,Restaurant of West Allis 11,Owner 11,restaurant,722511,Corporation,active,2025-05-14,,110 Main St,West Allis,WI,53010,Unknown,(414) 555-0010,owner11@restaurant11.com,,New restaurant business in West Allis,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257406,
WI202505150011,DFI000011,Retail Store of La Crosse 12,Owner 12,retail,448190,Corporation,active,2025-05-15,,111 Main St,La Crosse,WI,53011,Unknown,(414) 555-0011,owner12@retailstore12.com,,New retail store business in La Crosse,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257462,
WI202505160012,DFI000012,Hair Salon of Sheboygan 13,Owner 13,personal_services,812112,LLC,active,2025-05-16,,112 Main St,Sheboygan,WI,53012,Unknown,(414) 555-0012,owner13@hairsalon13.com,,New hair salon business in Sheboygan,,,state_registration,https://www.wcc.state.wi.us,2025-06-23 21:01:17.257506,
